id,composite_ticker,company_name,forecast_e,forecast_s,forecast_g,esg_performance,alpha,m1_pct_return,m3_pct_return,m6_pct_return,y1_pct_return,price
2558,EWJV,iShares MSCI Japan Value ETF,58.7711,54.1123,48.8774,47.7447,-1.03224,6.80549,-16.7458,-19.7941,-17.008,20.41
2561,EWM,iShares MSCI Malaysia ETF,55.6244,53.6563,52.6977,51.1757,0.169207,4.25725,-14.0724,-18.9722,-21.3995,23.2
2568,EWS,iShares MSCI Singapore ETF,55.4985,54.5678,54.9501,52.0829,-0.400192,8.12763,-21.366,-26.873,-27.159,17.35
2569,EWSC,Invesco S&P SmallCap 600 Equal Weight ETF,46.1296,46.9784,48.9383,45.5182,0.155313,20.2228,-25.0882,-26.3829,-34.4074,35.4316
2570,EWT,iShares MSCI Taiwan ETF,57.3612,53.4893,50.6687,48.9824,-1.10363,11.867,-6.46753,-8.32485,-1.03064,32.97
2644,FHK,First Trust Hong Kong AlphaDEX Fund,38.4473,35.4742,34.966,35.6037,0.407375,10.5587,-6.55941,-9.10815,-27.4673,27.3158
2659,FJP,First Trust Japan AlphaDEX Fund,48.0017,43.7316,39.5994,40.4083,-0.22649,8.06586,-14.8257,-17.1216,-16.5556,40.3544
2660,FKO,First Trust South Korea AlphaDEX Fund,51.4002,47.3785,43.541,43.8691,-0.766711,19.4489,-15.4749,-21.2332,-30.9744,14.46
2673,FLFR,Franklin FTSE France ETF,59.6967,58.0201,57.3532,50.6925,-0.615773,8.37845,-24.1684,-24.0223,-23.601,19.15
2676,FLHK,Franklin FTSE Hong Kong ETF,52.5528,49.6795,49.6996,47.1072,0.186087,5.36457,-11.6296,-15.678,-20.2735,20.5201
2683,FLJP,Franklin FTSE Japan ETF,53.4065,48.7421,44.3721,43.631,-0.63636,7.92888,-12.3587,-13.7149,-8.37113,21.74
2693,FLQD,Franklin LibertyQ Global Dividend ETF,56.3884,54.7853,54.1724,52.7774,-0.737161,8.73717,-19.4712,-19.0026,-15.3422,23.3252
2697,FLQL,Franklin LibertyQ U.S. Equity ETF,51.2201,50.984,51.7798,51.485,-0.288048,12.5283,-14.2121,-11.6023,-8.00248,27.61
2698,FLQM,Franklin LibertyQ U.S. Mid Cap Equity ETF,49.5997,49.6095,49.8863,48.3674,-0.0839223,14.5275,-17.4574,-15.5536,-14.8933,24.893
2699,FLQS,Franklin LibertyQ US Small Cap Equity ETF,46.5227,47.341,49.1512,46.5872,0.135007,16.7856,-22.8655,-22.6815,-26.6004,20.357
2707,FLTW,Franklin FTSE Taiwan ETF,55.1009,51.3902,48.7171,47.6389,-1.07813,11.7232,-7.22603,-9.00744,-2.87308,23.149
2717,FNDB,Schwab Fundamental U.S. Broad Market Index ETF,51.1083,50.7699,51.6262,50.9358,-0.374985,14.4372,-19.0856,-17.1437,-16.1265,30.7
2721,FNDX,Schwab Fundamental U.S. Large Company Index,51.5681,51.1601,51.9751,51.4207,-0.406998,14.1711,-18.4336,-16.3565,-14.829,31.33
2735,FRAK,VanEck Vectors Unconventional Oil & Gas ETF,45.599,46.1475,47.8693,47.5056,0.0909959,1401.54,532.109,496.791,229.735,4.13
2757,FTXD,First Trust Nasdaq Retail ETF,50.9094,50.1432,50.9161,51.5859,-0.198535,18.6427,-12.7177,-13.0307,-12.27,18.18
2758,FTXG,First Trust Nasdaq Food & Beverage ETF,49.8402,50.9648,51.3836,50.4397,-0.364268,6.34267,-15.6108,-13.0638,-8.43782,17.2246
2759,FTXH,First Trust Nasdaq Pharmaceuticals ETF,50.4649,51.0368,51.8994,53.499,0.0751267,16.2336,-6.26485,1.80666,2.93262,19.41
2760,FTXL,First Trust Nasdaq Semiconductor ETF,50.2913,51.4222,51.4798,51.1788,0.0624266,17.2915,-10.4184,-5.14941,3.19971,33
2762,FTXO,First Trust Nasdaq Bank ETF,50.545,50.7249,51.3011,49.6953,-0.696573,18.5245,-34.8722,-35.4596,-42.1618,15.631
2763,FTXR,First Trust Nasdaq Transportation ETF,49.1909,49.8798,50.4929,51.3704,-0.105539,14.5091,-34.1794,-33.8146,-37.0945,15.1253
2839,GOAT,VanEck Vectors Morningstar Global Wide Moat ETF,54.8775,53.4229,53.3933,52.4497,-0.50463,12.764,-13.1294,-9.27418,-4.91323,25.1104
2853,GSJY,Goldman Sachs ActiveBeta Japan Equity ETF,57.5175,52.5178,47.9889,47.3246,-0.548221,7.49793,-12.5642,-14.5839,-7.94864,27.7165
2854,GSLC,Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF,51.6495,51.3,51.8013,50.8011,-0.430607,14.5775,-12.5611,-7.21583,-3.39417,52.19
2884,HDV,iShares Core High Dividend ETF,51.9089,51.8458,52.8658,53.1988,-0.154485,14.9789,-15.6829,-17.1309,-19.279,71.55
2940,IAI,iShares U.S. Broker-Dealers & Securities Exchanges ETF,48.559,49.4467,48.2841,47.5123,-0.759777,13.4062,-20.7585,-13.7134,-10.4709,51.19
2941,IAK,iShares U.S. Insurance ETF,49.9484,50.2047,51.3171,50.618,-0.679555,6.45735,-31.187,-28.6872,-24.3514,49.57
2990,IECS,iShares Evolved U.S. Consumer Staples ETF,51.2835,51.6426,51.9233,52.419,-0.174875,9.90067,-11.7879,-7.405,-1.17935,23.957
2991,IEDI,iShares Evolved U.S. Discretionary Spending ETF,50.6101,49.9816,51.2413,50.4498,-0.453364,16.4099,-10.3628,-7.3713,-5.07932,24.9438
2995,IEHS,iShares Evolved U.S. Healthcare Staples ETF,51.6867,50.8997,52.0235,51.0103,-0.47316,16.7001,-5.81645,-0.628893,11.4367,26.7652
3002,IEO,iShares U.S. Oil & Gas Exploration & Production ETF,48.7802,49.5687,51.6618,50.9459,-0.230242,43.8866,-34.5251,-40.8448,-60.7773,22.84
3003,IETC,iShares Evolved U.S. Technology ETF,52.9389,52.2548,52.9808,52.3927,-0.648645,17.2597,-5.89139,7.02686,9.56556,29.05
3023,IGM,iShares North American Tech ETF,52.3894,51.6858,52.378,52.0013,-0.57338,17.7407,-6.48832,5.26804,6.48996,211.77
3024,IGN,iShares North American Tech-Multimedia Networking ETF,49.626,50.095,50.3833,50.8484,0.979805,15.5669,-10.7181,-9.09264,-22.2841,43.2623
3028,IGV,iShares North American Tech-Software ETF,50.8954,50.2329,50.8379,49.712,-0.342932,16.5244,-7.4174,7.34949,6.05963,210.29
3033,IHI,iShares U.S. Medical Devices ETF,52.1837,51.5646,52.1723,51.9183,-0.539132,18.2941,-5.52265,1.16424,15.1201,225.35
3039,IJH,iShares Core S&P Mid-Cap ETF,47.5063,47.9676,49.5181,46.5213,0.0358464,17.1528,-21.719,-19.9415,-23.9623,143.86
3041,IJK,iShares S&P Mid-Cap 400 Growth ETF,47.1157,47.5507,49.0308,47.0948,0.10056,17.0552,-17.068,-13.8228,-16.8894,178.46
3042,IJR,iShares Core S&P Small-Cap ETF,46.2343,46.8908,48.9966,45.6118,0.165548,16.3824,-25.2339,-24.6869,-29.1282,56.11
3044,IJT,iShares S&P Small-Cap 600 Growth ETF,46.3356,46.8144,48.9965,46.6171,0.234105,16.0996,-22.2796,-19.1181,-23.4708,137.86
3063,IOO,iShares Global 100 ETF,54.544,53.8388,54.149,52.0639,-0.927655,12.7273,-11.2498,-5.9144,-2.2186,44.66
3064,IPAC,iShares Core MSCI Pacific ETF,50.4455,46.7556,44.1527,41.5856,-0.397699,8.17199,-15.7904,-18.1292,-14.4876,46.36
3092,ITOT,iShares Core S&P Total U.S. Stock Market ETF,49.952,49.6459,50.287,49.1197,-0.418667,15.5625,-14.0107,-9.02918,-7.32843,57.21
3093,IUS,Invesco Strategic US ETF,51.4732,51.04,51.7059,51.792,-0.385993,15.1111,-14.8338,-11.738,-8.27669,21.25
3095,IUSG,iShares Core S&P U.S. Growth ETF,51.4836,50.9641,51.6885,51.3298,-0.542274,16.496,-8.64764,-1.06391,0.900177,57.09
3096,IUSS,Invesco Strategic US Small Company ETF,46.918,47.4435,48.8546,46.2718,0.0900757,19.4268,-22.4928,-21.4824,-26.2566,16.8
3097,IUSV,iShares Core S&P U.S. Value ETF,51.2323,50.9749,51.4177,50.1617,-0.365846,13.1471,-18.9493,-17.0191,-13.761,46.18
3099,IVE,iShares S&P 500 Value ETF,51.4188,51.1184,51.49,50.3458,-0.385491,12.6169,-18.5109,-16.4798,-12.4882,96.25
3101,IVOG,Vanguard S&P Mid-Cap 400 Growth ETF,47.5732,48.0119,49.4977,47.0796,0.102785,17.0631,-16.8677,-14.3144,-16.8893,110.36
3102,IVOO,Vanguard S&P Mid-Cap 400 ETF,47.3917,47.8616,49.3979,46.4183,0.0353216,17.0405,-21.4197,-19.7357,-23.6564,97.3
3104,IVV,iShares Core S&P 500 ETF,51.8444,51.3866,51.9373,50.9958,-0.496169,14.8825,-12.9101,-7.92986,-4.81612,258.4
3105,IVW,iShares S&P 500 Growth ETF,51.6819,51.1076,51.789,51.5449,-0.579646,16.2658,-8.20508,-0.293096,2.0415,165.05
3109,IWF,iShares Russell 1000 Growth ETF,51.8388,51.2513,52.1431,51.7385,-0.561625,16.7106,-7.58034,1.66777,5.68038,150.65
3110,IWL,iShares Russell Top 200 ETF,52.4041,51.8296,52.5367,51.6718,-0.573285,14.6735,-11.1263,-5.11522,-1.44266,61.55
3117,IWV,iShares Russell 3000 ETF,50.064,49.7685,50.4241,49.2452,-0.42166,15.4107,-14.0984,-9.03971,-7.13705,148.33
3119,IWY,iShares Russell Top 200 Growth ETF,52.3752,51.5753,52.6449,53.1272,-0.690337,16.439,-6.48288,3.69306,8.94005,84.21
3122,IXJ,iShares Global Healthcare ETF,55.172,53.9566,54.0692,52.9901,-0.7344,13.2005,-2.57989,3.37533,14.5579,60.94
3123,IXN,iShares Global Tech ETF,55.2235,53.9893,54.1205,54.6639,-0.568158,15.9787,-8.45823,2.70173,9.77075,182.36
3124,IXP,iShares Global Telecom ETF,54.5564,52.1755,50.8655,49.3301,-0.610213,13.6473,-9.00193,-4.02483,-6.39161,51.86
3128,IYE,iShares U.S. Energy ETF,48.7769,48.7325,50.9747,49.3323,0.0259529,29.3553,-32.9064,-40.6545,-55.7283,15.31
3131,IYH,iShares U.S. Healthcare ETF,52.4379,52.0606,52.8143,53.2674,-0.356698,15.2552,-1.71812,4.64368,13.9146,187.8
3133,IYK,iShares US Consumer Goods ETF,51.1988,51.6703,51.4042,52.2851,-0.138461,11.6439,-14.0272,-8.09052,-3.08281,108.2
3137,IYT,iShares Transportation Average ETF,50.7169,50.4524,52.1264,53.535,-0.133368,10.0281,-23.7424,-24.8937,-28.4318,138.23
3138,IYW,iShares US Technology ETF,53.863,53.1945,53.8442,54.4107,-0.484821,16.7402,-7.39836,5.9851,10.4079,204.39
3139,IYY,iShares Dow Jones U.S. ETF,51.1128,50.7755,51.3999,50.2579,-0.441321,15.2437,-13.6403,-8.55696,-6.33652,126.16
3140,IYZ,iShares US Telecommunications ETF,50.9706,50.8749,51.227,51.8182,0.180075,10.3864,-9.16239,-10.1454,-13.2683,24.85
3145,JDIV,JPMorgan U.S. Dividend ETF,49.1205,49.6415,50.3279,49.2307,-0.15661,14.9299,-24.7785,-24.5969,-24.4641,18.9671
3153,JHME,John Hancock Multifactor Energy ETF,49.11,49.5941,51.4037,48.8817,-0.0812633,36.9722,-37.7288,-43.8944,-61.2172,10.0776
3155,JHMH,John Hancock Multifactor Healthcare ETF,52.0387,51.8403,52.5269,52.0738,-0.325159,15.0635,-2.03435,4.00205,10.8025,32.56
3157,JHML,John Hancock Multifactor Large Cap ETF,50.9416,50.7155,51.2116,50.0259,-0.372777,15.4781,-14.9612,-11.083,-8.55403,32.08
3159,JHMS,John Hancock Multifactor Consumer Staples ETF,51.641,51.8391,51.7992,50.9209,-0.210303,8.51089,-8.22529,-5.08364,1.92739,25.8697
3166,JKF,iShares Morningstar Large-Cap Value ETF,52.5412,52.3643,52.945,53.2764,-0.458776,11.9285,-17.7347,-18.1478,-14.2732,86.6
3174,JMIN,JPMorgan US Minimum Volatility ETF,49.6965,49.8959,50.4186,49.0057,-0.250165,11.9827,-16.5261,-12.4619,-5.72668,24.6886
3184,JPGE,JPMorgan Diversified Return Global Equity ETF,51.6028,49.6977,48.841,45.8619,-0.105865,9.49077,-17.481,-17.6535,-16.7794,47.8447
3192,JPMV,iShares Edge MSCI Min Vol Japan ETF,56.9241,51.6062,47.0397,46.5615,-0.412313,4.49236,-12.7058,-17.3601,-8.86574,58.17
3193,JPN,X-trackers Japan JPX-Nikkei 400 Equity ETF,55.5129,50.5505,46.1355,44.9383,-0.552191,7.6587,-12.5026,-13.8925,-8.03582,23.98
3198,JPXN,iShares JPX-Nikkei 400 ETF,55.1962,50.2656,45.8791,45.1459,-0.550065,8.3876,-12.594,-14.2108,-7.92742,52.96
3199,JQUA,JPMorgan US Quality Factor ETF,51.4333,51.141,51.7452,50.9224,-0.333561,14.1806,-11.5543,-6.66101,-5.04217,25.5
3202,JUST,Goldman Sachs JUST U.S. Large Cap Equity ETF,51.8547,51.402,52.2428,51.9837,-0.567337,14.6609,-12.9654,-7.34244,-3.63865,37.1241
3209,KBWB,Invesco KBW Bank ETF,52.0173,51.4271,52.3011,50.8773,-0.87347,17.0989,-32.8375,-32.9974,-35.6422,33.52
3212,KBWR,Invesco KBW Regional Banking ETF,45.9359,47.2793,49.3666,45.6352,-0.334223,16.1682,-31.6033,-31.1815,-41.9821,31.7984
3221,KIE,SPDR S&P Insurance ETF,47.854,48.7756,49.9568,47.4635,-0.451738,7.10638,-29.7712,-27.3383,-21.7593,24.93
3222,KLDW,Knowledge Leaders Developed World ETF,44.8957,42.8616,41.9205,39.9724,-0.118796,11.9927,-13.3908,-12.089,-9.73491,28.8272
3233,KRMA,Global X Conscious Companies ETF,52.9999,52.8279,53.2147,53.3041,-0.401961,14.2959,-15.0996,-11.7285,-9.99541,18.2445
3237,KXI,iShares Global Consumer Staples ETF,55.4288,54.6074,54.2482,50.9291,-0.958947,7.00855,-9.47216,-7.97501,-1.65863,47.81
3246,LEAD,Reality Shares DIVCON Leaders Dividend ETF,50.3392,50.2818,50.8522,50.2412,-0.159752,14.7946,-7.91958,-1.28478,1.35832,33.048
3250,LGLV,SPDR SSGA US Large Cap Low Volatility Index ETF,48.9445,49.1112,49.0869,47.5435,-0.177229,11.7216,-18.1617,-13.8033,-6.95146,90.6
3263,LRGF,iShares Edge MSCI Multifactor USA ETF,51.5605,51.2394,52.1489,51.546,-0.283622,13.7068,-16.5111,-13.613,-10.9722,26.45
3284,MDY,SPDR S&P MidCap 400 ETF Trust,47.6521,48.1182,49.6747,46.6656,0.0346499,17.2146,-21.6709,-19.8782,-23.8222,262.88
3285,MDYG,SPDR S&P 400 Mid CapGrowth ETF,47.1283,47.565,49.0448,47.109,0.100561,16.7202,-17.1313,-13.8691,-16.8993,42.82
3292,MFUS,PIMCO RAFI Dynamic Multi-Factor U.S. Equity ETF,51.0557,50.8872,51.6024,50.9154,-0.332274,13.6169,-17.0892,-15.297,-13.3139,23.725
