"cca_id","company_name","sector","forecast_e","forecast_s","forecast_g","dynamic_model_ex_market_sector","m1_pct_return","m3_pct_return","m6_pct_return","y1_pct_return"
"97739","F5 Networks, Inc.","Information Technology","49.031","50.5785","48.4507","0.900711","-11.1046516310352","-23.644826879645","-24.0635048750517","-32.0524615065151"
"97741","Facebook, Inc.","Communication Services","51.4083","48.2938","49.2777","-0.944369","-13.3371396904342","-18.7332419200203","-6.33420768660055","0.0659789747721851"
"97742","FactSet Research Systems, Inc.","Financials","49.3264","52.6436","53.2286","-1.06188","-1.99628545244359","-2.58892549742485","7.86208225859588","6.11395854174992"
"97743","Fair Isaac Corp.","Information Technology","46.5072","49.6272","50.5877","-0.220699","-18.1740836666161","-17.879257190242","1.37391322630205","13.2754819322292"
"97747","Fastenal Co.","Industrials","49.9782","50.2985","46.4829","-0.550736","-8.67917129453568","-14.8412650506104","-3.11497566183125","-0.285557251991908"
"97752","Federal Realty Investment Trust","Real Estate","52.0495","49.151","46.2398","-0.138791","-35.2319932549023","-41.4657796037486","-44.2003106807918","-44.0399210258209"
"97754","Federated Hermes, Inc.","Financials","46.0313","48.1282","46.2271","-0.205574","-33.9688185020557","-41.1225893518881","-40.3213792521625","-32.8969312152217"
"97755","FedEx Corp.","Industrials","52.2496","50.7442","51.9673","-0.635053","-13.6663607267353","-19.3987361947021","-15.9284237732762","-32.0007298489692"
"97761","Fidelity National Information Services, Inc.","Information Technology","47.1477","49.0794","45.734","-0.0328248","-12.6829402482485","-12.2874642423137","-7.87013991882645","8.74225870712884"
"97763","Fifth Third Bancorp","Financials","52.7814","51.7941","54.7028","-1.85289","-38.1036208840857","-50.8695070740957","-44.4069958836424","-38.5831417922798"
"97767","FireEye, Inc.","Information Technology","48.9133","48.9642","49.2768","-0.11405","-20.0604415908795","-35.9951534454177","-20.6896451773717","-36.986301018443"
"97768","First American Financial Corp.","Financials","49.038","49.4459","53.159","-1.44271","-25.2352574527611","-26.7992699212288","-27.1732588126997","-15.2952531681237"
